,Symbol,Security
0,MMM,3M
1,AOS,A. O. Smith
2,ABT,Abbott Laboratories
3,ABBV,AbbVie
4,ACN,Accenture
5,ADBE,Adobe Inc.
6,AMD,Advanced Micro Devices
7,AES,AES Corporation
8,AFL,Aflac
9,A,Agilent Technologies
10,APD,Air Products
11,ABNB,Airbnb
12,AKAM,Akamai Technologies
13,ALB,Albemarle Corporation
14,ARE,Alexandria Real Estate Equities
15,ALGN,Align Technology
16,ALLE,Allegion
17,LNT,Alliant Energy
18,ALL,Allstate
19,GOOGL,Alphabet Inc. (Class A)
20,GOOG,Alphabet Inc. (Class C)
21,MO,Altria
22,AMZN,Amazon
23,AMCR,Amcor
24,AEE,Ameren
25,AEP,American Electric Power
26,AXP,American Express
27,AIG,American International Group
28,AMT,American Tower
29,AWK,American Water Works
30,AMP,Ameriprise Financial
31,AME,Ametek
32,AMGN,Amgen
33,APH,Amphenol
34,ADI,Analog Devices
35,AON,Aon plc
36,APA,APA Corporation
37,APO,Apollo Global Management
38,AAPL,Apple Inc.
39,AMAT,Applied Materials
40,APP,AppLovin
41,APTV,Aptiv
42,ACGL,Arch Capital Group
43,ADM,Archer Daniels Midland
44,ANET,Arista Networks
45,AJG,Arthur J. Gallagher & Co.
46,AIZ,Assurant
47,T,AT&T
48,ATO,Atmos Energy
49,ADSK,Autodesk
50,ADP,Automatic Data Processing
51,AZO,AutoZone
52,AVB,AvalonBay Communities
53,AVY,Avery Dennison
54,AXON,Axon Enterprise
55,BKR,Baker Hughes
56,BALL,Ball Corporation
57,BAC,Bank of America
58,BAX,Baxter International
59,BDX,Becton Dickinson
60,BRK.B,Berkshire Hathaway
61,BBY,Best Buy
62,TECH,Bio-Techne
63,BIIB,Biogen
64,BLK,BlackRock
65,BX,Blackstone Inc.
66,XYZ,"Block, Inc."
67,BK,BNY Mellon
68,BA,Boeing
69,BKNG,Booking Holdings
70,BSX,Boston Scientific
71,BMY,Bristol Myers Squibb
72,AVGO,Broadcom
73,BR,Broadridge Financial Solutions
74,BRO,Brown & Brown
75,BF.B,BrownâForman
76,BLDR,Builders FirstSource
77,BG,Bunge Global
78,BXP,"BXP, Inc."
79,CHRW,C.H. Robinson
80,CDNS,Cadence Design Systems
81,CPT,Camden Property Trust
82,CPB,Campbell's Company (The)
83,COF,Capital One
84,CAH,Cardinal Health
85,KMX,CarMax
86,CCL,Carnival
87,CARR,Carrier Global
88,CAT,Caterpillar Inc.
89,CBOE,Cboe Global Markets
90,CBRE,CBRE Group
91,CDW,CDW Corporation
92,COR,Cencora
93,CNC,Centene Corporation
94,CNP,CenterPoint Energy
95,CF,CF Industries
96,CRL,Charles River Laboratories
97,SCHW,Charles Schwab Corporation
98,CHTR,Charter Communications
99,CVX,Chevron Corporation
100,CMG,Chipotle Mexican Grill
101,CB,Chubb Limited
102,CHD,Church & Dwight
103,CI,Cigna
104,CINF,Cincinnati Financial
105,CTAS,Cintas
106,CSCO,Cisco
107,C,Citigroup
108,CFG,Citizens Financial Group
109,CLX,Clorox
110,CME,CME Group
111,CMS,CMS Energy
112,KO,Coca-Cola Company (The)
113,CTSH,Cognizant
114,COIN,Coinbase
115,CL,Colgate-Palmolive
116,CMCSA,Comcast
117,CAG,Conagra Brands
118,COP,ConocoPhillips
119,ED,Consolidated Edison
120,STZ,Constellation Brands
121,CEG,Constellation Energy
122,COO,Cooper Companies (The)
123,CPRT,Copart
124,GLW,Corning Inc.
125,CPAY,Corpay
126,CTVA,Corteva
127,CSGP,CoStar Group
128,COST,Costco
129,CTRA,Coterra
130,CRWD,CrowdStrike
131,CCI,Crown Castle
132,CSX,CSX Corporation
133,CMI,Cummins
134,CVS,CVS Health
135,DHR,Danaher Corporation
136,DRI,Darden Restaurants
137,DDOG,Datadog
138,DVA,DaVita
139,DAY,Dayforce
140,DECK,Deckers Brands
141,DE,Deere & Company
142,DELL,Dell Technologies
143,DAL,Delta Air Lines
144,DVN,Devon Energy
145,DXCM,Dexcom
146,FANG,Diamondback Energy
147,DLR,Digital Realty
148,DG,Dollar General
149,DLTR,Dollar Tree
150,D,Dominion Energy
151,DPZ,Domino's
152,DASH,DoorDash
153,DOV,Dover Corporation
154,DOW,Dow Inc.
155,DHI,D. R. Horton
156,DTE,DTE Energy
157,DUK,Duke Energy
158,DD,DuPont
159,EMN,Eastman Chemical Company
160,ETN,Eaton Corporation
161,EBAY,eBay Inc.
162,ECL,Ecolab
163,EIX,Edison International
164,EW,Edwards Lifesciences
165,EA,Electronic Arts
166,ELV,Elevance Health
167,EME,Emcor
168,EMR,Emerson Electric
169,ETR,Entergy
170,EOG,EOG Resources
171,EPAM,EPAM Systems
172,EQT,EQT Corporation
173,EFX,Equifax
174,EQIX,Equinix
175,EQR,Equity Residential
176,ERIE,Erie Indemnity
177,ESS,Essex Property Trust
178,EL,EstÃ©e Lauder Companies (The)
179,EG,Everest Group
180,EVRG,Evergy
181,ES,Eversource Energy
182,EXC,Exelon
183,EXE,Expand Energy
184,EXPE,Expedia Group
185,EXPD,Expeditors International
186,EXR,Extra Space Storage
187,XOM,ExxonMobil
188,FFIV,"F5, Inc."
189,FDS,FactSet
190,FICO,Fair Isaac
191,FAST,Fastenal
192,FRT,Federal Realty Investment Trust
193,FDX,FedEx
194,FIS,Fidelity National Information Services
195,FITB,Fifth Third Bancorp
196,FSLR,First Solar
197,FE,FirstEnergy
198,FI,Fiserv
199,F,Ford Motor Company
200,FTNT,Fortinet
201,FTV,Fortive
202,FOXA,Fox Corporation (Class A)
203,FOX,Fox Corporation (Class B)
204,BEN,Franklin Resources
205,FCX,Freeport-McMoRan
206,GRMN,Garmin
207,IT,Gartner
208,GE,GE Aerospace
209,GEHC,GE HealthCare
210,GEV,GE Vernova
211,GEN,Gen Digital
212,GNRC,Generac
213,GD,General Dynamics
214,GIS,General Mills
215,GM,General Motors
216,GPC,Genuine Parts Company
217,GILD,Gilead Sciences
218,GPN,Global Payments
219,GL,Globe Life
220,GDDY,GoDaddy
221,GS,Goldman Sachs
222,HAL,Halliburton
223,HIG,Hartford (The)
224,HAS,Hasbro
225,HCA,HCA Healthcare
226,DOC,Healthpeak Properties
227,HSIC,Henry Schein
228,HSY,Hershey Company (The)
229,HPE,Hewlett Packard Enterprise
230,HLT,Hilton Worldwide
231,HOLX,Hologic
232,HD,Home Depot (The)
233,HON,Honeywell
234,HRL,Hormel Foods
235,HST,Host Hotels & Resorts
236,HWM,Howmet Aerospace
237,HPQ,HP Inc.
238,HUBB,Hubbell Incorporated
239,HUM,Humana
240,HBAN,Huntington Bancshares
241,HII,Huntington Ingalls Industries
242,IBM,IBM
243,IEX,IDEX Corporation
244,IDXX,Idexx Laboratories
245,ITW,Illinois Tool Works
246,INCY,Incyte
247,IR,Ingersoll Rand
248,PODD,Insulet Corporation
249,INTC,Intel
250,IBKR,Interactive Brokers
251,ICE,Intercontinental Exchange
252,IFF,International Flavors & Fragrances
253,IP,International Paper
254,IPG,Interpublic Group of Companies (The)
255,INTU,Intuit
256,ISRG,Intuitive Surgical
257,IVZ,Invesco
258,INVH,Invitation Homes
259,IQV,IQVIA
260,IRM,Iron Mountain
261,JBHT,J.B. Hunt
262,JBL,Jabil
263,JKHY,Jack Henry & Associates
264,J,Jacobs Solutions
265,JNJ,Johnson & Johnson
266,JCI,Johnson Controls
267,JPM,JPMorgan Chase
268,K,Kellanova
269,KVUE,Kenvue
270,KDP,Keurig Dr Pepper
271,KEY,KeyCorp
272,KEYS,Keysight Technologies
273,KMB,Kimberly-Clark
274,KIM,Kimco Realty
275,KMI,Kinder Morgan
276,KKR,KKR & Co.
277,KLAC,KLA Corporation
278,KHC,Kraft Heinz
279,KR,Kroger
280,LHX,L3Harris
281,LH,Labcorp
